model,target_var,data_path,f1,n_samples,positive_rate,predictions_path
gpt-5-mini,political,data/belgium_newspaper_new_filter.csv,0.7916574217883293,3864,0.4754140786749482,predictions_political_gpt-5-mini.csv
gpt-5.1,political,data/belgium_newspaper_new_filter.csv,0.7738887695941593,3864,0.4754140786749482,predictions_political_gpt-5.1.csv
gpt-5.1,political,data/belgium_newspaper_new_filter.csv,0.7738887695941593,3864,0.4754140786749482,predictions_political_gpt-5.1.csv
gpt-5.1,political,data/belgium_newspaper_new_filter.csv,0.805452865064695,3864,0.4754140786749482,predictions_political_gpt-5.1.csv
gpt-5-mini,political,data/belgium_newspaper_new_filter.csv,0.8206863218946351,3864,0.4754140786749482,predictions_political_gpt-5-mini_seed42.csv,42,,test
