model,f1,best_params,fit_time_s,is_linear,selected_for_ensemble,target_var,data_path,cv,n_jobs
tfidf_log_reg,0.8242090784044016,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""vec__analyzer"": ""char_wb"", ""vec__max_df"": 0.9, ""vec__min_df"": 0.002, ""vec__ngram_range"": [3, 5], ""vec__sublinear_tf"": true}",904.8522173999809,True,True,political,data/belgium_newspaper_new_filter.csv,5,1
count_linear_svm,0.7685443390964863,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""vec__max_df"": 0.9, ""vec__min_df"": 0.001, ""vec__ngram_range"": [1, 2]}",2038.247803999926,True,True,political,data/belgium_newspaper_new_filter.csv,5,1
tfidf_log_reg,0.8242090784044016,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""vec__analyzer"": ""char_wb"", ""vec__max_df"": 0.9, ""vec__min_df"": 0.002, ""vec__ngram_range"": [3, 5], ""vec__sublinear_tf"": true}",898.5820078999968,True,True,political,data/belgium_newspaper_new_filter.csv,5,1
count_linear_svm,0.7685443390964863,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""vec__max_df"": 0.9, ""vec__min_df"": 0.001, ""vec__ngram_range"": [1, 2]}",2157.3352232000325,True,True,political,data/belgium_newspaper_new_filter.csv,5,1
tfidf_linear_svm,0.8233333333333334,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""vec__analyzer"": ""word"", ""vec__max_df"": 0.9, ""vec__max_features"": 100000, ""vec__min_df"": 0.001, ""vec__ngram_range"": [1, 2], ""vec__stop_words"": ""english"", ""vec__sublinear_tf"": true}",1143.522825299995,True,True,political,data/belgium_newspaper_new_filter.csv,5,1
